# Источник: https://skf.mtuci.ru/uch_rab/time-table/ — Высшее, очная, 1 курс, ДЗ2601, расписание на сентябрь 2026 (скан PDF)
# дата	пара	дисциплина	преподаватель	ассистент	аудитория	вид
01.09	1	Иностранный язык	Светличная Н.О.		302	ПЗ
01.09	2	История России	Устименко Д.Л.		402	лек.
01.09	3	Физическая культура и спорт	Денисов Е.А.		402	лек.
02.09	6	Линейная алгебра и аналитическая геометрия	Ефимов С.В.		402	лек.
02.09	7	Введение в информационные технологии	Коноваленко А.В.		дистанционно	лек.
03.09	1	Основы российской государственности	Устименко Д.Л.		402	лек.
03.09	2	Основы российской государственности	Устименко Д.Л.		308	Семин.
03.09	3	Физическая культура и спорт	Денисов Е.А.		308	ПЗ
04.09	2	Основы российской государственности	Устименко Д.Л.		106	Семин.
04.09	3	Основы российской государственности	Устименко Д.Л.		402	лек.
04.09	4	Элективные курсы по ФК(ОФП)	Карпов Д.А.		сп/зал	ПЗ
05.09	1	Основы российской государственности	Устименко Д.Л.		306	Семин.
05.09	2	Элективные курсы по ФК(ОФП)	Карпов Д.А.		сп/зал	ПЗ
05.09	3	Высшая математика	Беркович В.Н.		402	лек.
07.09	1	Элективные курсы по ФК(ОФП)	Карпов Д.А.		сп/зал	ПЗ
07.09	2	Русский язык и культура речи	Светличная Н.О.		402	лек.
07.09	3	Физическая культура и спорт	Денисов Е.А.		217	ПЗ
09.09	1	Иностранный язык	Светличная Н.О.		302	ПЗ
09.09	2	Линейная алгебра и аналитическая геометрия	Ефимов С.В.		308	ПЗ
09.09	3	Введение в информационные технологии	Коноваленко А.В.		218	ПЗ
10.09	1	Основы российской государственности	Устименко Д.Л.		306	Семин.
10.09	2	Введение в информационные технологии	Коноваленко А.В.		305	ЛР
10.09	3	Физическая культура и спорт	Денисов Е.А.		217	ПЗ
11.09	1	Основы российской государственности	Устименко Д.Л.		308	Семин.
11.09	2	Физическая культура и спорт	Денисов Е.А.		217	ПЗ
11.09	3	Элективные курсы по ФК(ОФП)	Карпов Д.А.		сп/зал	ПЗ
14.09	2	Русский язык и культура речи	Светличная Н.О.		402	лек.
14.09	3	Высшая математика	Беркович В.Н.		402	лек.
14.09	4	Высшая математика	Беркович В.Н.		306	ПЗ
15.09	2	История России	Устименко Д.Л.		307	лек.
15.09	3	Физическая культура и спорт	Денисов Е.А.		402	лек.
15.09	4	Элективные курсы по ФК(ОФП)	Карпов Д.А.		сп/зал	ПЗ
16.09	6	Линейная алгебра и аналитическая геометрия	Ефимов С.В.		402	лек.
16.09	7	Введение в информационные технологии	Коноваленко А.В.		дистанционно	лек.
17.09	1	Физическая культура и спорт	Денисов Е.А.		217	ПЗ
17.09	2	Физика	Леонтьев И.Н.		402	лек.
17.09	3	Линейная алгебра и аналитическая геометрия	Ефимов С.В.		220	ПЗ
18.09	1	Элективные курсы по ФК(ОФП)	Карпов Д.А.		сп/зал	ПЗ
18.09	2	Введение в информационные технологии	Коноваленко А.В.		305	ЛР
18.09	3	Основы российской государственности	Устименко Д.Л.		306	Семин.
18.09	4	Иностранный язык	Светличная Н.О.		302	ПЗ
19.09	1	Физическая культура и спорт	Денисов Е.А.		217	ПЗ
19.09	2	Основы российской государственности	Устименко Д.Л.		402	лек.
19.09	3	Основы российской государственности	Устименко Д.Л.		402	Семин.
21.09	1	Элективные курсы по ФК(ОФП)	Карпов Д.А.		сп/зал	ПЗ
21.09	2	Иностранный язык	Светличная Н.О.		302	ПЗ
21.09	3	Линейная алгебра и аналитическая геометрия	Ефимов С.В.		308	ПЗ
22.09	1	Элективные курсы по ФК(ОФП)	Карпов Д.А.		сп/зал	ПЗ
22.09	2	Физическая культура и спорт	Денисов Е.А.		217	ПЗ
22.09	3	Основы российской государственности	Устименко Д.Л.		306	Семин.
23.09	1	Введение в информационные технологии	Коноваленко А.В.		101	ЛР
23.09	2	Физика	Дымов-Иванов В.В.		401	ПЗ
23.09	3	Элективные курсы по ФК(ОФП)	Карпов Д.А.		сп/зал	ПЗ
24.09	1	Высшая математика	Беркович В.Н.		308	ПЗ
24.09	2	Физика	Леонтьев И.Н.		402	лек.
24.09	3	Физическая культура и спорт	Денисов Е.А.		217	ПЗ
25.09	1	Основы российской государственности	Устименко Д.Л.		306	Семин.
25.09	2	Физика	Леонтьев И.Н.		401	ЛР
25.09	3	Высшая математика	Беркович В.Н.		306	ПЗ
26.09	1	Физическая культура и спорт	Денисов Е.А.		217	ПЗ
26.09	2	Введение в информационные технологии	Коноваленко А.В.		305	ПЗ
26.09	3	Введение в информационные технологии	Коноваленко А.В.		305	ЛР
28.09	2	Русский язык и культура речи	Светличная Н.О.		402	лек.
28.09	3	Высшая математика	Беркович В.Н.		402	лек.
28.09	4	Высшая математика	Беркович В.Н.		306	ПЗ
29.09	2	История России	Устименко Д.Л.		307	лек.
29.09	3	Физическая культура и спорт	Денисов Е.А.		402	лек.
29.09	4	Физическая культура и спорт	Денисов Е.А.		217	ПЗ
30.09	6	Линейная алгебра и аналитическая геометрия	Ефимов С.В.		402	лек.
30.09	7	Введение в информационные технологии	Коноваленко А.В.		дистанционно	лек.
